epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,691.135,0.05133,0.28706,0.76349,0.99225,1,0.995,0.79395,0.87333,0.84592,1.25876,0.0003368,0.0003368,0.0003368
86,698.774,0.04642,0.2735,0.7613,0.99436,1,0.995,0.78227,0.86036,0.83794,1.24174,0.000317,0.000317,0.000317
87,706.242,0.04555,0.27734,0.76456,0.99438,1,0.995,0.78601,0.84991,0.82801,1.22719,0.0002972,0.0002972,0.0002972
88,713.454,0.04042,0.26444,0.76178,0.99276,1,0.995,0.79387,0.84497,0.81644,1.22584,0.0002774,0.0002774,0.0002774
89,720.65,0.03963,0.26308,0.75758,0.99509,1,0.995,0.79474,0.84384,0.80522,1.22303,0.0002576,0.0002576,0.0002576
90,727.999,0.0367,0.25412,0.76109,0.99565,1,0.995,0.78658,0.85368,0.82188,1.22631,0.0002378,0.0002378,0.0002378
91,735.37,0.03502,0.25088,0.76044,0.99485,1,0.995,0.78706,0.86179,0.81814,1.23511,0.000218,0.000218,0.000218
92,742.888,0.03142,0.24661,0.75995,0.9951,1,0.995,0.79613,0.8495,0.80076,1.21929,0.0001982,0.0001982,0.0001982
93,750.129,0.02971,0.24172,0.76071,0.99498,1,0.995,0.79545,0.85316,0.80748,1.22341,0.0001784,0.0001784,0.0001784
94,757.539,0.02569,0.238,0.76096,0.99512,1,0.995,0.79714,0.85471,0.81333,1.22441,0.0001586,0.0001586,0.0001586
95,764.993,0.02539,0.24987,0.76329,0.99517,1,0.995,0.79666,0.8494,0.8114,1.21801,0.0001388,0.0001388,0.0001388
96,772.186,0.02478,0.23351,0.7595,0.9955,1,0.995,0.79654,0.84523,0.81481,1.21047,0.000119,0.000119,0.000119
97,779.218,0.02465,0.23795,0.7597,0.9953,1,0.995,0.7967,0.84417,0.81567,1.20705,9.92e-05,9.92e-05,9.92e-05
98,786.483,0.02229,0.22965,0.76003,0.9952,1,0.995,0.79556,0.8392,0.81271,1.20031,7.94e-05,7.94e-05,7.94e-05
99,793.45,0.02149,0.22774,0.75991,0.99508,1,0.995,0.79556,0.83654,0.80976,1.19805,5.96e-05,5.96e-05,5.96e-05
100,800.42,0.01964,0.22657,0.75973,0.99514,1,0.995,0.79556,0.83665,0.80907,1.19704,3.98e-05,3.98e-05,3.98e-05
